titleFull,symbol,best_year,EMA
FLUID-PRESSURE ACTUATORS; HYDRAULICS OR PNEUMATICS IN GENERAL,F15,1952,3.0
ENGINEERING ELEMENTS AND UNITS; GENERAL MEASURES FOR PRODUCING AND MAINTAINING EFFECTIVE FUNCTIONING OF MACHINES OR INSTALLATIONS; THERMAL INSULATION IN GENERAL,F16,2022,6.569947740747649
STORING OR DISTRIBUTING GASES OR LIQUIDS,F17,2018,1.472670768543461
LIGHTING,F21,2015,2.105814278238563
STEAM GENERATION,F22,2009,2.355407951368704
COMBUSTION APPARATUS; COMBUSTION PROCESSES,F23,2008,1.7178737726305606
HEATING; RANGES; VENTILATING,F24,2006,2.4954431543445827
REFRIGERATION OR COOLING; COMBINED HEATING AND REFRIGERATION SYSTEMS; HEAT PUMP SYSTEMS; MANUFACTURE OR STORAGE OF ICE; LIQUEFACTION SOLIDIFICATION OF GASES,F25,2011,1.4650400095716534
DRYING,F26,2003,1.2441942809699396
FURNACES; KILNS; OVENS; RETORTS,F27,2006,1.4655613834633707
HEAT EXCHANGE IN GENERAL,F28,1982,1.3690036900369005
WEAPONS,F41,2000,1.5947847935475943
AMMUNITION; BLASTING,F42,1988,1.3833598075227078
MEASURING; TESTING,G01,2008,8.274434880862755
OPTICS,G02,2008,2.4013002803674164
PHOTOGRAPHY; CINEMATOGRAPHY; ANALOGOUS TECHNIQUES USING WAVES OTHER THAN OPTICAL WAVES; ELECTROGRAPHY; HOLOGRAPHY,G03,2007,2.4363703724333465
HOROLOGY,G04,1890,1.0
CONTROLLING; REGULATING,G05,2021,2.109550603287487
COMPUTING; CALCULATING OR COUNTING,G06,2007,4.296324508896222
CHECKING-DEVICES,G07,2024,1.3941891574754472
SIGNALLING,G08,2023,1.5348094301506785
EDUCATION; CRYPTOGRAPHY; DISPLAY; ADVERTISING; SEALS,G09,1924,2.0
MUSICAL INSTRUMENTS; ACOUSTICS,G10,1923,2.0
INFORMATION STORAGE,G11,2005,2.6871481067094525
INSTRUMENT DETAILS,G12,1973,1.0
INFORMATION AND COMMUNICATION TECHNOLOGY [ICT] SPECIALLY ADAPTED FOR SPECIFIC APPLICATION FIELDS,G16,2010,1.0
NUCLEAR PHYSICS; NUCLEAR ENGINEERING,G21,1998,1.9614752082160285
SUBJECT MATTER NOT OTHERWISE PROVIDED FOR IN THIS SECTION,G99,1953,1.0
ELECTRIC ELEMENTS,H01,2009,8.397276551666554
GENERATION; CONVERSION OR DISTRIBUTION OF ELECTRIC POWER,H02,2003,2.511684662109556
ELECTRONIC CIRCUITRY,H03,2007,2.250512595025669
ELECTRIC COMMUNICATION TECHNIQUE,H04,2009,7.326861099678973
ELECTRIC TECHNIQUES NOT OTHERWISE PROVIDED FOR,H05,2017,1.80806085083459
SEMICONDUCTOR DEVICES; ELECTRIC SOLID-STATE DEVICES NOT OTHERWISE PROVIDED FOR,H10,1996,1.974903158520622
SUBJECT MATTER NOT OTHERWISE PROVIDED FOR IN THIS SECTION,H99,1991,1.0
TECHNOLOGIES OR APPLICATIONS FOR MITIGATION OR ADAPTATION AGAINST CLIMATE CHANGE,Y02,2006,6.378820344194258
INFORMATION OR COMMUNICATION TECHNOLOGIES HAVING AN IMPACT ON OTHER TECHNOLOGY AREAS,Y04,1983,1.0
TECHNICAL SUBJECTS COVERED BY FORMER USPC,Y10,2009,10.965886481869763
