sid,iso_time,latitude,longitude,wmo_wind,CUMULATIVE_DISTANCE
2020256N11329,1600527600000000,25.8224,-59.1778,,33.14473647134402
2020256N11329,1600538400000000,26.2,-59.7,100.0,33.78915450336982
2020256N11329,1600549200000000,26.5649,-60.2428,,34.44320637440147
2020256N11329,1600560000000000,26.9,-60.8,95.0,35.09340930426259
2020256N11329,1600570800000000,27.2151,-61.3801,,35.75356384677518
2020256N11329,1600581600000000,27.5,-61.9,90.0,36.34640785661251
2020256N11329,1600592400000000,27.7571,-62.2805,,36.80562529966101
2020256N11329,1600603200000000,28.0,-62.6,85.0,37.206973851421196
2020256N11329,1600614000000000,28.2501,-62.9725,,37.65564551310711
2020256N11329,1600624800000000,28.5,-63.3,80.0,38.06759970959017
2020256N11329,1600635600000000,28.7349,-63.5674,,38.42352213091257
2020256N11329,1600646400000000,29.0,-63.7,80.0,38.719935305383615
2020256N11329,1600657200000000,29.3274,-63.675,,39.048288408003344
2020256N11329,1600668000000000,29.7,-63.5,80.0,39.45993845355174
2020256N11329,1600678800000000,30.0248,-63.2661,,39.86019368462312
2020256N11329,1600689600000000,30.5,-62.9,80.0,40.460063878915186
2020256N11329,1600700400000000,31.2308,-62.3367,,41.38276400896828
2020256N11329,1600711200000000,32.2,-61.8,80.0,42.49064285162212
2020256N11329,1600722000000000,33.3022,-61.4671,,43.6420190933433
2020256N11329,1600732800000000,34.6,-61.4,85.0,44.94155256732541
2020256N11329,1600743600000000,36.167,-61.6122,,46.52285514431692
2020256N11329,1600754400000000,37.6,-62.1,90.0,48.03660474051836
2020256N11329,1600765200000000,38.4859,-62.7998,,49.16555950046226
2020256N11329,1600776000000000,39.1,-63.5,90.0,50.09690199922413
2020256N11329,1600786800000000,39.6995,-63.9562,,50.85024036277666
2020256N11329,1600797600000000,40.3,-64.2,80.0,51.498344281913084
2020256N11329,1600808400000000,41.0345,-64.3192,,52.24245374294688
2020256N11329,1600819200000000,41.8,-64.2,65.0,53.01717878449387
2020256N11329,1600830000000000,42.4776,-63.8395,,53.78470859498986
2020256N11329,1600840800000000,43.2,-63.3,60.0,54.686330472497275
2020256N11329,1600851600000000,44.0245,-62.7562,,55.674013969372666
2020256N11329,1600862400000000,45.0,-62.1,55.0,56.849683433975706
2020256N11329,1600873200000000,46.1619,-61.3231,,58.24739056352753
2020256N11329,1600884000000000,47.4,-60.4,50.0,59.79173677471205
2020256N11329,1600894800000000,48.4972,-59.3441,,61.31448844520859
2020256N11329,1600905600000000,49.7,-58.2,45.0,62.97451635160053
2020256N11329,1600916400000000,51.1696,-57.0279,,64.85428829787486
2020256N11329,1600927200000000,52.8,-55.8,40.0,66.89535237575188
